"Study_No"	"Study_ID"	"Arm_ID"	"Year"	"Drug"	"No_randomised"	"OverallEfficM"	"OverallEfficSD"	"OverallEfficN"	"PosM"	"PosSD"	"PosN"	"NegM"	"NegSD"	"NegN"	"DeprM"	"DeprSD"	"DeprN"	"QolM"	"QolSD"	"QolN"	"SocialFunctM"	"SocialFunctSD"	"SocialFunctN"	"WeightContM"	"WeightContSD"	"WeightContN"	"DefCritWeightGainDich"	"WeightDichN"	"ProlactinM"	"ProlactinSD"	"ProlactinN"	"ProlactinHyperDichN"	"QTcM"	"QTcSD"	"QTcN"	"QTcProlongN"	"NResponseMain"	"NReponseMainDef"	"NResponse50"	"NResponse20"	"DropoutInefficacy"	"DropoutTotal"	"SedationN"	"AntiParkinMedN"	"AkathisiaN"	"LibidoDecrAllN"	"LibidoIncrAllN"	"ErectileDysfunctionN"	"EjaculationDysfunctionN"	"AmenorrheaN"	"GalactorrhoeaN"	"TachykardiaN"	"BradykardiaN"	"ArrhythmiaN"	"ConstipationN"	"BlurredVisionN"	"UrinaryRetentionN"	"DryMouthN"	"HypotensionN"	"SeizuresN"	"LeukopeniaN"	"AgranulozytosisN"	"MaligNeuroSyndrN"	"PulmonaryEmbolismN"	"StrokeN"	"DeepVeinThrombosisN"	"DeathAllN"	"Randomisation"	"Allocation"	"BlindPersonalPatients"	"BlindOutcomeAssesment"	"MissingOutcomes"	"SelectiveReporting"	"OtherBias"	"MeanDose"	"DoseOlaEquivalent"	"Sponsor"	"Duration"	"DoseFixFlex"	"MeanAge"	"DurationIllYears"	"Diag_crit"	"NumberSites"	"ComplITT"	"Placebo"	"BaselineSeverity"	"No_male"	"Blinding_type"	"CalculatedSD"	"PlaceboChange"	"FailedStudy"	"CholinergicN"	"SexualSideEffN"	"RoBCategory"	"HighRoB"
"123"	224	"Johnstone 1978, 01073"	459	1978	"Placebo"	15	8.2	3.87	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	1	1	1	0	NA	0	4	1	NA	NA	"PSE"	1	1	1	NA	NA	2	2	NA	0	NA	NA	1	0
"124"	227	"Kahn 2007"	464	2007	"Placebo"	118	-18.8	26.5	115	-5.9	6.70274636349697	118	-4.2	5.75784837086637	118	-2.6	3.32759720124589	118	NA	NA	NA	NA	NA	NA	0.48	3.23	118	NA	NA	-24.11	50.02	118	NA	NA	NA	NA	NA	35	"30%PANSS"	NA	NA	17	33	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	1	1	1	1	0	NA	0	6	1	34.1	8	"DSM-IV"	39	1	1	96.2	67	2	2	-18.8	0	5	NA	1	0
"125"	227	"Kahn 2007"	465	2007	"Quetiapine"	470	-28.4	23.86	458	-9.1	6.70274636349697	470	-6.2	5.75784837086637	470	-3.2	3.32759720124589	470	NA	NA	NA	NA	NA	NA	1.45	2.6	470	NA	NA	-20.58	47.42	470	NA	NA	NA	NA	NA	245	"30%PANSS"	NA	NA	43	109	41	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	NA	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	1	0	0	1	1	1	1	1	551	14.877	1	6	1	34.2	7.82	"DSM-IV"	39	1	1	97.1	278	2	2	NA	0	14	NA	1	0
"126"	231	"Kane 2002"	472	2002	"Aripiprazole"	204	-13.44	25.25	204	-4	7.31	204	-2.95	6.32	199	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65	3.61969389008628	204	"7% increase"	11	-7.05	36.7063236773344	179	5	-2.7	24.757979667836	204	0	63	"30% PANSS reduction or CGI much improved"	NA	NA	20	76	15	23	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	1	1	22.5	15.1006711409396	1	4	1	38.55	16.6	"DSM-IV"	36	1	1	98.75	146	2	2	NA	0	3	NA	2	0
"127"	231	"Kane 2002"	473	2002	"Haloperidol"	104	-13.8	23.66	104	-4.4	8.17	104	-2.9	6.05	104	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	3.61969389008628	104	"7% increase"	10	22.5	49.77	95	45	1.67	24.757979667836	104	3	26	"30% PANSS reduction or CGI much improved"	NA	NA	6	42	13	31	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	1	1	10	20	0	4	1	38.9	16	"DSM-IV"	36	1	1	99.3	68	2	2	NA	0	8	NA	2	0
"128"	231	"Kane 2002"	474	2002	"Placebo"	106	-2.9	23.66	106	-0.6	8.17	106	-1.2	6.05	106	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2	3.61969389008628	104	"7% increase"	1	-1.8	36.7063236773344	96	3	-3.45	24.757979667836	106	1	17	"30% PANSS reduction or CGI much improved"	NA	NA	15	48	4	12	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	1	1	0	NA	0	4	1	38.5	16	"DSM-IV"	36	1	1	100.2	74	2	2	-2.9	0	1	NA	2	0
"129"	234	"Kane 2009 8 weeks"	481	2009	"Olanzapine"	281	-26.8	21.1	281	-5.4	4.3	281	-7.9	7.6	281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	170	"at least 30% improvement in PANSS total score"	102	206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	1	1	16.7	16.7	1	8	2	39.3	16.5	"DSM-IV-TR"	60	1	0	95.7	194	2	1	NA	0	NA	NA	2	0
"130"	234	"Kane 2009 8 weeks"	480	2009	"Aripiprazole"	285	-22.2	22.3	285	-4.6	4.8	285	-6.3	7.9	285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	145	"at least 30% improvement in PANSS total score"	94	175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	1	1	1	20.93	14.0469798657718	0	8	2	38.2	16.3	"DSM-IV-TR"	60	1	0	95.9	190	2	1	NA	0	NA	NA	2	0
"131"	235	"Kane 2010a"	483	2010	"Haloperidol"	115	-20	18	112	-7.3	6.4	112	-4	5.3	112	-2.3	3.2	112	NA	NA	NA	NA	NA	NA	0.3	3.61969389008628	115	"?7% increase"	5	2.8	59.11	106	37	NA	NA	NA	NA	50	"CGI at least much improved"	NA	NA	4	50	4	49	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	0	0	0	1	1	0	1	1	8	16	0	6	1	38.5	12.5	"DSM-IV-TR"	43	1	1	88.5	63	2	1	NA	0	NA	NA	2	0
"132"	235	"Kane 2010a"	484	2010	"Placebo"	123	-14.6	17.8	122	-5.1	6.6	122	-3.3	5.5	122	-2	3.3	122	NA	NA	NA	NA	NA	NA	0.4	3.61969389008628	123	"?7% increase"	2	-19.2	43.73	114	11	NA	NA	NA	NA	41	"CGI at least much improved"	NA	NA	22	54	5	15	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	1	0	0	1	1	0	1	1	0	NA	0	6	1	38.5	12.5	"DSM-IV-TR"	43	1	1	89	64	2	1	-14.6	0	NA	NA	2	0
"133"	235	"Kane 2010a"	482	2010	"Asenapine"	220	-20.4	17.5	214	-7.5	6.3	214	-4.4	5.2	214	-2.6	3.1	214	NA	NA	NA	NA	NA	NA	0.7	3.61969389008628	217	"?7% increase"	10	-13.2	39.72	203	29	NA	NA	NA	NA	99	"CGI at least much improved"	NA	NA	20	82	13	39	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	0	0	1	1	0	1	1	14.9	14.9	1	6	1	38.5	12.5	"DSM-IV-TR"	43	1	1	89.1	142	2	1	NA	0	NA	NA	2	0
"134"	245	"Kinon 2011"	505	2011	"Olanzapine"	62	-20.68	24.25	62	-7.34	7.6	62	-4.46	5.7	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.37	2.05	62	">-7%"	6	1.59	18.43	62	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	21	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	1	-1	1	1	15	15	1	4	1	41.7	15	"DSM-IV"	55	1	1	99.6	34	2	1	NA	0	NA	NA	2	0
"135"	245	"Kinon 2011"	506	2011	"Placebo"	122	-14.6	24.3	122	-4.9	7.62	122	-3.07	5.7	122	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19	2.1	122	">-7%"	1	-9.43	19.1	122	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	49	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	1	1	1	-1	1	1	0	NA	0	4	1	38.9	12.5	"DSM-IV"	55	1	1	97.6	70	2	1	-14.6	0	NA	NA	2	0
"136"	247	"Klein 1985"	509	1985	"Amisulpride"	9	-22	12.8	9	NA	NA	NA	8.9	3.38874	9	6.6	3.6	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	147.5	79.25	9	NA	NA	NA	NA	NA	8	"BPRS improved"	NA	NA	0	0	NA	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	0	0	-1	-1	1	473	13.7180974477958	NA	4	1	37.11	6.18	"ICD-9"	1	NA	0	100	NA	2	1	NA	0	NA	NA	3	1
"137"	247	"Klein 1985"	510	1985	"Haloperidol"	10	-26	18.1	10	NA	NA	NA	7.5	3.39	10	8.8	3.6	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	201.32	21.79	7	NA	NA	NA	NA	NA	4	"BPRS improved"	NA	NA	2	5	NA	6	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	0	0	-1	-1	1	NA	NA	0	4	1	45.3	6.18	"ICD-9"	1	NA	0	105	NA	2	1	NA	0	NA	NA	3	1
"138"	248	"Klieser 1989"	512	1989	"Placebo"	16	-4.1	20.4	16	NA	NA	NA	NA	NA	NA	-4.1	15.8	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	1	1	0	NA	0	3	1	42.6	11.7	"DSM-III"	1	NA	1	NA	NA	2	1	-5	0	NA	NA	2	0
"139"	248	"Klieser 1989"	511	1989	"Haloperidol"	22	-20.7	22.6	20	NA	NA	NA	NA	NA	NA	-4	16.9	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	1	1	20	40	0	3	1	42.6	11.7	"DSM-III"	1	NA	1	NA	NA	2	1	NA	0	NA	NA	2	0
"140"	249	"Klieser 1990"	514	1990	"Haloperidol"	16	44	11	15	NA	NA	NA	13.2	3.1	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	1	20	40	0	6	1	47.6	17.2	"Clinical Diagnosis"	1	NA	0	112	NA	2	1	NA	0	NA	NA	2	0
"141"	249	"Klieser 1990"	513	1990	"Clozapine"	16	36	6	15	NA	NA	NA	9.7	3.3	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	1	400	20	0	6	1	47.6	17.2	"Clinical Diagnosis"	1	NA	0	126	NA	2	1	NA	0	NA	NA	2	0
"142"	252	"Kluge 2007"	519	2007	"Clozapine"	15	15.9	13.7	15	3.5	3.9	15	3.2	3.7	15	5.5	4.2	15	NA	NA	NA	NA	NA	NA	81.3	19.6	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	2	0	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	266.7	13.335	0	6	2	36.7	6.7	"DSM-IV"	1	1	0	97	7	2	1	NA	0	3	NA	1	0
"143"	252	"Kluge 2007"	520	2007	"Olanzapine"	15	19.1	13.8	15	5.1	4.3	15	3.9	2.2	15	5.1	4.1	15	NA	NA	NA	NA	NA	NA	78.3	18.5	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	3	2	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	21.2	21.2	1	6	2	32.8	4.8	"DSM-IV"	1	1	0	97	5	2	1	NA	0	1	NA	1	0
"144"	280	"Litmann 2014"	591	2014	"Placebo"	41	4.82	14.99	41	0.3	6.2	41	1.72	4.36	41	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1	2.4	41	"adverse event"	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	"CGI much improved"	NA	NA	5	8	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	0	NA	0	4	1	40.2	NA	"DSM-IV"	2	1	1	102.1	39	2	1	4.82	0	4	NA	1	0
"145"	280	"Litmann 2014"	590	2014	"Olanzapine"	22	-8.24	14.84	22	-3	5.3	22	-1.1	4.99	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	3.8	22	"adverse event"	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	"CGI much improved"	NA	NA	0	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	15	15	0	4	1	35.3	NA	"DSM-IV"	2	1	1	100.59	22	2	1	NA	0	2	NA	1	0
"146"	290	"Lundbeck NCT00864045"	611	2010	"Sertindole"	198	-18.79	21.4	188	-8.11	5.94	196	-5.82	6.8	196	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.1	4	134	"weight increades as an AE"	NA	10.01	29.57	129	16	25	48	128	52	NA	NA	NA	NA	8	63	4	34	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	1	1	1	1	1	16	16	1	12	2	34.4	NA	"DSM-IV-TR"	23	1	0	85.95	107	2	1	NA	0	11	NA	1	0
"147"	290	"Lundbeck NCT00864045"	610	2010	"Olanzapine"	196	-23.78	21.8	192	-7.88	5.94	193	-6.04	6.8	193	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.9	4	161	"weight increased as an AE"	NA	1.85	25.31	157	10	6	26	156	11	NA	NA	NA	NA	11	33	10	21	24	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	1	1	1	1	15	15	0	12	2	34.9	NA	"DSM-IV-TR"	23	1	0	85.72	105	2	1	NA	0	19	NA	1	0
"148"	295	"Mahal 1976"	620	1976	"Chlorpromazine"	27	-17.8519	12.05	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	"Improved based on multiphasic questionnaire"	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	-1	1	1	250	8.25	0	9	1	29.3	0.49	"clinical diagnosis"	1	2	1	NA	10	2	1	NA	0	NA	NA	2	0
"149"	295	"Mahal 1976"	621	1976	"Placebo"	27	-10	14.33	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	"Improved based on multiphasic questionnaire"	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	-1	1	1	0	NA	0	9	1	25.89	0.49	"clinical diagnosis"	1	2	1	NA	17	2	1	NA	0	NA	NA	2	0
"150"	298	"Marder 1994"	629	1994	"Risperidone"	64	-16.1	19.2	63	-4.7	6.8	63	-3.3	5.5	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	11	45	NA	NA	NA	NA	NA	16	"50% PANSS reduction"	16	37	11	29	2	13	NA	NA	NA	NA	NA	NA	NA	3	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	1	1	1	1	6	20	1	8	1	37.5	15.8	"DSM-III-R"	20	1	1	93.8	55	2	1	NA	0	1	NA	1	0
"151"	298	"Marder 1994"	628	1994	"Placebo"	66	3.3	22.2	64	1	6.5	64	0.4	7.8	64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	17	51	NA	NA	NA	NA	NA	5	"50% PANSS reduction"	5	14	41	45	0	12	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	1	1	1	1	0	NA	0	8	1	37.1	15.2	"DSM-III-R"	20	1	1	92.2	57	2	1	3.3	0	0	NA	1	0
"152"	298	"Marder 1994"	627	1994	"Haloperidol"	66	-4.1	19.4	64	-2.4	6.4	64	-0.3	6.6	64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	22	55	NA	NA	NA	NA	NA	6	"50% PANSS reduction"	6	19	25	38	3	31	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	1	1	1	1	20	40	0	8	1	38	15.4	"DSM-III-R"	20	1	1	92.9	60	2	1	NA	0	1	NA	1	0
"153"	307	"McEvoy 2007b"	649	2007	"Aripiprazole"	206	-13.04	24.54	200	-3.21	4.53	200	-2.98	6.78	200	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.21	3	200	"?7% increase"	15	-22.09	30.41	203	5	NA	NA	NA	3	80	"30% PANSS reduction or CGI much improved"	NA	NA	19	137	22	34	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	17.42718447	11.6960969597315	1	6	1	40.19	16.49	"DSM-IV"	57	1	1	92.86	161	2	1	NA	0	16	NA	1	0
"154"	307	"McEvoy 2007b"	650	2007	"Placebo"	108	-2.33	25.54	107	-1.37	4.88	107	0.08	7.13	107	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.64	2.63	107	"?7% increase"	4	-13.34	30.41	107	19	NA	NA	NA	0	28	"30% PANSS reduction or CGI much improved"	NA	NA	11	78	6	9	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	0	NA	0	6	1	41.2	16.7	"DSM-IV"	57	1	1	92.3	83	2	1	-2.33	0	6	NA	1	0
"155"	312	"Meltzer 2004"	660	2004	"Placebo"	98	-4.2	17.6	96	-2.2	5.7	96	-0.5	4.8	96	-0.99	4.35	96	NA	NA	NA	NA	NA	NA	-0.6	3.61969389008628	96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	78	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	1	1	1	0	NA	0	6	1	37.4	NA	"DSM-IV"	50	1	1	91.3	74	2	1	-4.2	0	NA	NA	2	0
"156"	312	"Meltzer 2004"	659	2004	"Haloperidol"	98	-14	19.9	95	-4.9	6	96	-3	5.9	95	-1.69	4.26	95	NA	NA	NA	NA	NA	NA	0.5	3.61969389008628	95	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	68	NA	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	1	1	1	10	20	0	6	1	36	NA	"DSM-IV"	50	1	1	92.2	69	2	1	NA	0	NA	NA	2	0
"157"	313	"Meltzer 2007a"	661	2007	"Placebo"	149	-7.7	19.2	144	-2.5	6	144	-1.8	5.6	144	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	140	">7% increase"	7	0	74.9834325587939	149	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	100	2	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	1	0	0	0	NA	0	6	1	38.2	NA	"DSM-IV-TR"	NA	1	1	NA	111	2	1	-7.7	0	8	NA	2	0
"158"	313	"Meltzer 2007a"	662	2007	"Risperidone"	154	-19.7	19.3	151	-7.2	6.6	151	-3.8	5.5	151	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5	2	150	">7% increase"	17	34	74.9834325587939	154	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	74	11	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	1	0	0	6	20	0	6	1	38.3	NA	"DSM-IV-TR"	NA	1	1	NA	112	2	1	NA	0	8	NA	2	0
"159"	319	"Min 1993"	674	1993	"Haloperidol"	19	-21.9	9.33	19	-3.3	3.67	19	-7.4	6.48459904431217	19	-2.8	1.5	19	NA	NA	NA	NA	NA	NA	-0.8	3.61969389008628	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	"at least 20% reduction from baseline on the total PANSS"	NA	14	0	0	5	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	-1	1	8.9	17.8	0	8	1	34.1	10.6	"DSM-III-R"	1	1	0	88.2	NA	2	2	NA	0	NA	NA	2	0
"160"	319	"Min 1993"	675	1993	"Risperidone"	16	-17.1	11.67	16	-4.3	2.17	16	-4.5	6.48459904431217	16	-2.8	2.17	16	NA	NA	NA	NA	NA	NA	0.2	3.61969389008628	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	"at least 20% reduction from baseline on the total PANSS"	NA	10	0	3	7	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	-1	1	7.5	25	1	8	1	34.1	10.6	"DSM-III-R"	1	1	0	92	NA	2	2	NA	0	NA	NA	2	0
"161"	320	"Möller 1997"	676	1997	"Amisulpride"	95	-20.9	18.5	94	-10.4	8.5	94	-7.5	8.3	94	-4.5	5.3	94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	58	"at least CGI much improved"	NA	NA	11	25	1	36	8	NA	NA	0	NA	NA	NA	NA	NA	NA	3	0	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	700	20.3016241299304	1	6	2	36	10.1	"DSM-III-R"	31	1	0	110	61	2	1	NA	0	3	0	1	0
"162"	320	"Möller 1997"	677	1997	"Haloperidol"	96	-17.3	18.1	94	-9.4	9	94	-5.1	8.1	94	-3.1	4.7	94	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	"at least CGI much improved"	NA	NA	11	39	5	64	10	NA	NA	1	NA	NA	NA	NA	NA	NA	2	2	NA	3	1	NA	NA	NA	NA	NA	NA	NA	1	1	1	1	1	1	1	1	17.5	35	0	6	2	35	9	"DSM-III-R"	31	1	0	110	58	2	1	NA	0	3	1	1	0
"163"	323	"Montgomery 1992"	682	1992	"Placebo"	33	25.39	15.18	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-42.48	17.82	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	"Response on the Montgomery Schizophrenia Scale (cutoff NA)"	NA	NA	11	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	1	-1	1	0	NA	0	4	1	37.9	NA	"DSM-III"	5	1	1	86	20	2	1	-5	0	NA	NA	2	0
"164"	323	"Montgomery 1992"	683	1992	"Thioridazine"	32	16.77	11.23	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-56.74	21.42	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	"Response on the Montgomery Schizophrenia Scale (cutoff NA)"	NA	NA	1	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	1	1	-1	1	400	16	0	4	1	41.7	NA	"DSM-III"	5	1	1	89	16	2	1	NA	0	NA	NA	2	0
"165"	325	"Mori 2004"	688	2004	"Risperidone"	19	71.5	12	19	10.8	2.2	19	25.6	4.8	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	-1	-1	1	7.37	24.5666666666667	NA	8	2	59.9	34.51	"DSM-IV"	1	NA	0	81.2	NA	2	1	NA	0	NA	NA	3	1
